Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Sun, 23 May 2010 06:40:17 +0000):	Check this video out -- Diddy - Dirty Money - Hello Good Morning ft. T.I., Rick Ross http://youtu.be/DkoeNLuMbcI
lele647 (Sun, 23 May 2010 06:44:15 +0000):	Check this video out -- Can I Get A... http://youtu.be/MUN9giYJhew
lele647 (Sun, 23 May 2010 07:13:17 +0000):	Check this video out -- OH BABY LOVE - Mothers Finest http://youtu.be/Bi41K4zY8O4
lele647 (Sun, 23 May 2010 16:21:39 +0000):	@papawu1 HUGS hunny!! How are you?
lele647 (Sun, 23 May 2010 16:27:06 +0000):	@papawu1 that's great to hear hunny!! Miss ya! Where are you?
lele647 (Sun, 23 May 2010 16:35:38 +0000):	@papawu1 how do you like chicago??i I have never been. I heard they have good places to eat!!
lele647 (Sun, 23 May 2010 16:40:49 +0000):	@papawu1 cool!!! If I ever go I will ask you! Nothing good here. I hate NJ!!! Its nice and cool though.
lele647 (Sun, 23 May 2010 16:44:58 +0000):	@papawu1 that would be cool!! You can cook here!! LOL I miss atl food!
lele647 (Sun, 23 May 2010 16:59:44 +0000):	@papawu1 my son just broght me warm muffins!!
lele647 (Sun, 23 May 2010 17:04:13 +0000):	@papawu1 LOL I only eat land o lakes butter!
lele647 (Sun, 23 May 2010 17:11:38 +0000):	@papawu1 now that the kids cook we go through 1 to 2 sticks a day!!
lele647 (Sun, 23 May 2010 17:14:49 +0000):	@papawu1 I am gonna do some things!! Don't want to get out my laptop or I will be toast. Have a good one hunny CYL
lele647 (Sun, 23 May 2010 17:18:16 +0000):	@papawu1 my huuby washed my pants yesterday. I had 100 now its gone!! Shit
lele647 (Sun, 23 May 2010 17:23:18 +0000):	@papawu1 luv ya hunny! Xoxo. This might not be a good day.
lele647 (Sun, 23 May 2010 21:10:34 +0000):	Gov Jindal tell them hunny. I really like you!! Just say FUCK YOU BP!!! #boycott #jgf @dawnlambros
lele647 (Sun, 23 May 2010 21:12:30 +0000):	65 miles of LA coastline is oiled #boycott #jgf. Fuck you BP WHEN is someone going to damn jail!!
lele647 (Sun, 23 May 2010 21:16:59 +0000):	GO Gov Jindal!!!!!! Finally we have number and info!! Calm down handing you a water. Breathe hunny #boycott #jgf. On cnn
lele647 (Sun, 23 May 2010 21:17:47 +0000):	RT @keeperofdreams: Beer butt chicken tonights menu w potato salad. &amp; slaw mmmmmm YUMMY!!
lele647 (Sun, 23 May 2010 21:19:18 +0000):	@joebrochin hey baby I havent opened my computer yet. How are you? I am really pissed off. I know what this will do to my gulf
lele647 (Sun, 23 May 2010 21:21:27 +0000):	NOBAMA get off your ass and help with this oilspill. I really don't like you now. This is my home!!!! DO SOMETHING!! No longer acceptable
lele647 (Sun, 23 May 2010 21:29:38 +0000):	@DavidKirlew well I thought he was the president. Oh I forgot he was too fucking busy golfing now. Ass fucking whole. Sorry d I'm pissed
lele647 (Sun, 23 May 2010 21:38:08 +0000):	@DavidKirlew i AM TIRED OF WAITING!!! Done. now the gov need to do something for your OWN PPL and land
lele647 (Sun, 23 May 2010 21:39:06 +0000):	@DavidKirlew really david we bail everyone else out!! Think about it, there is oil still coming out. WE help everyone but ourselves , DONE
lele647 (Sun, 23 May 2010 21:40:14 +0000):	@DavidKirlew no but he can have someone authorizing this oil stop stuff that is sitting in LA!! Just sitting there.
lele647 (Sun, 23 May 2010 21:41:07 +0000):	@DavidKirlew oh hunny i just want something done, I grew up on the gulf, I love it hunny. This saddens me deeply
lele647 (Sun, 23 May 2010 21:43:00 +0000):	@DavidKirlew Hunny what i say is true. You cant deny it, we helped with the earthquakes. There are supplies and workmen SITTING around!
lele647 (Sun, 23 May 2010 21:43:30 +0000):	@DavidKirlew i just watched the LA gv jindal and he had PICS of it, he is very upset
lele647 (Sun, 23 May 2010 21:44:20 +0000):	@DavidKirlew i know that hunny, they arent doing everything they can to contain it. Its all over the news
lele647 (Sun, 23 May 2010 21:44:55 +0000):	@DavidKirlew LOL you know I am a major greenie!!!
lele647 (Sun, 23 May 2010 21:47:06 +0000):	@DavidKirlew well as a greenie I see what I need to, oil in marshes and tons of oil still going into the ocean, thats all i need to see
lele647 (Sun, 23 May 2010 21:48:49 +0000):	@DavidKirlew really you should watch the gov speech!! Maybe I am looking at it one sided. what other side is there hunny
lele647 (Sun, 23 May 2010 21:53:26 +0000):	@DavidKirlew what does it matter if it is a natural disaster? Think of all the economic devestation that the gov will have to pay for later
lele647 (Sun, 23 May 2010 21:57:02 +0000):	@DavidKirlew Bro that is not my point not everything that can be done is being done!!!!
lele647 (Sun, 23 May 2010 22:00:16 +0000):	@DavidKirlew I dont understand who you are defending and why you are not more outraged, it puzzles me.
lele647 (Sun, 23 May 2010 22:02:02 +0000):	@davidkirlew why dont you email me huny i have to do RT
lele647 (Sun, 23 May 2010 22:04:15 +0000):	@davidkirlew lele647@aol.com
lele647 (Mon, 24 May 2010 00:51:54 +0000):	RT @MomsofAmerica: TYVM for the mentions!! Flying off now! @lele647 @WatkinsLadybeth @rickybuck @RoyaltyBuff &gt; HUGS
lele647 (Mon, 24 May 2010 00:52:15 +0000):	HUGS BABY RT @M_Albee: @lele647 Have a Relaxing Sunday, Sending hugs &amp; prayers to You my friend http://twitgoo.com/ws6ld
lele647 (Mon, 24 May 2010 00:55:08 +0000):	HUGS @definitelydiane @WhyPR @yeagerhood @Kristen_Howe @abinitioadinfin @joeygiggles @Martien2012 @BillZucker
lele647 (Mon, 24 May 2010 00:55:22 +0000):	RT @Martien2012: @lele647 Good morning &gt; LOL good night!!
lele647 (Mon, 24 May 2010 00:55:43 +0000):	@definitelydiane I had a decent day!! How are you?
lele647 (Mon, 24 May 2010 00:59:11 +0000):	RT @scodal: @lele647 @hoppets @ganjaboy74 heys whats good my tweeps? Hey scott, I am still LMAO at you putting that person on hold!!1
lele647 (Mon, 24 May 2010 00:59:36 +0000):	RT @Silversmyth: @lele647 he's a keeper. : ) &gt; thanks sweetie, LOL son is 19 and a BIG pill
lele647 (Mon, 24 May 2010 01:00:12 +0000):	@kelvinringold HUGS sweetheart!! Hope you had a good day!
lele647 (Mon, 24 May 2010 01:03:05 +0000):	HUGS @BillZucker @xRAWSHiT_NiTROx @windowsot @HawaiianKiko01 @papawu1 @scodal @LeglessLush @Silversmyth @SoCalCoupons
lele647 (Mon, 24 May 2010 01:05:38 +0000):	HUGS @kelvinringold @MerleChloe @ASCBofficial @joebrochin @Battle_Of_Mars @REALT1MEtracy @ktoxxx @MrsHazeleyes @Reward_Mall @air_leben
lele647 (Mon, 24 May 2010 01:06:36 +0000):	@RoyaltyBuff I got you sweetheart!! Thank you so much for telling me. Hope you having a great weekend! HUGS darling
lele647 (Mon, 24 May 2010 01:08:14 +0000):	@jillzie30 Luv ya too beautiful!! HUGS Glad you had a great weekend, a bit of rain here! not complaing
lele647 (Mon, 24 May 2010 01:10:22 +0000):	HUGS @RoyaltyBuff @joebrochin @definitelydiane @DavidKirlew @SuperChrug2010 @jillzie30 @WatkinsLadybeth @persimew @pamper411 @RazorRaySVP
lele647 (Mon, 24 May 2010 01:11:29 +0000):	RT @SeanCAJ: RT @lele647 there is my baby!! &lt;------------What's up, Girl? &gt; oh i missed my beautiful babe!!! HUGS
lele647 (Mon, 24 May 2010 01:18:30 +0000):	@PaulBritPhoto Thanks Paul!! hope you had a good day hunny!! HUGS
lele647 (Mon, 24 May 2010 01:19:42 +0000):	@dentaldiva1 HUGS sweets!! Did you have a good day?
lele647 (Mon, 24 May 2010 01:20:11 +0000):	@Kristen_Howe HI hunny!! hope you had a good day
lele647 (Mon, 24 May 2010 01:20:28 +0000):	@WatkinsLadybeth How are you? HUGS
lele647 (Mon, 24 May 2010 01:20:45 +0000):	@dawnlambros I know i am really pissed off
lele647 (Mon, 24 May 2010 01:21:54 +0000):	@definitelydiane that is great hunny!! I am feeling better too!
lele647 (Mon, 24 May 2010 01:22:05 +0000):	@nwchptr4me Hey GF whats up
lele647 (Mon, 24 May 2010 01:23:09 +0000):	@definitelydiane LOL what are you taking? I hate cold medicine
lele647 (Mon, 24 May 2010 01:24:19 +0000):	@WatkinsLadybeth I am good tonight. twitter keeps going out on me again
lele647 (Mon, 24 May 2010 01:28:26 +0000):	@definitelydiane I hate it!! I have had to take cold meds one time, besides that claritin
lele647 (Mon, 24 May 2010 01:31:43 +0000):	@nwchptr4me sounds good hunny!! MIss ya
lele647 (Mon, 24 May 2010 01:33:08 +0000):	@definitelydiane Oh no keep cough medicine away from me!! I always take too much!
lele647 (Mon, 24 May 2010 01:33:28 +0000):	@WatkinsLadybeth I want to try seesmic
lele647 (Mon, 24 May 2010 01:34:13 +0000):	@definitelydiane OUch that sucks, LOL I take claritin everyday so i dont get sick, but got sick at the damn grocery store
lele647 (Mon, 24 May 2010 01:34:57 +0000):	@joebrochin How are ya hunny?
lele647 (Mon, 24 May 2010 01:35:10 +0000):	@hipcop Hey girl!!! How are you?
lele647 (Mon, 24 May 2010 01:36:48 +0000):	@hipcop i am doing good!! Had a cool day with clouds, but COOL, LOL
lele647 (Mon, 24 May 2010 01:37:32 +0000):	@definitelydiane everyone was coughing and i was like i am going to get sick and i did
lele647 (Mon, 24 May 2010 01:37:48 +0000):	@rosasparamin i am good hunny!! How are ya
lele647 (Mon, 24 May 2010 01:39:48 +0000):	@WatkinsLadybeth oh i dont have an i phone i have a blackberry
lele647 (Mon, 24 May 2010 01:40:13 +0000):	@hipcop it was cloudy but coool, and my roses are coming in really nice
lele647 (Mon, 24 May 2010 01:40:42 +0000):	@WatkinsLadybeth I like to use my laptop, i dont like to use my phone
lele647 (Mon, 24 May 2010 01:45:11 +0000):	@hipcop oh i sent you a pic didnt I?
lele647 (Mon, 24 May 2010 01:45:35 +0000):	@definitelydiane LOL you are cough syrup tweeting, LMAO be careful!
lele647 (Mon, 24 May 2010 01:46:23 +0000):	@joebrochin oh hunny my mom is great!! thanks for asking she started new chemo on tues. but doing good
lele647 (Mon, 24 May 2010 02:03:31 +0000):	@TheRealLaine HUGS beautiful!! Hope you had a great day!
lele647 (Mon, 24 May 2010 02:03:57 +0000):	@hipcop okay i will send
lele647 (Mon, 24 May 2010 02:07:50 +0000):	@WatkinsLadybeth LOL when i use my phone i dont respond! LOL i dont follow it as well as tweetdeck
lele647 (Mon, 24 May 2010 02:08:00 +0000):	RT @definitelydiane: @Stellar143 @lele647 OMG I'm a cough syrup tweeter. I may need a doctor for that LOL &gt; LOL
lele647 (Mon, 24 May 2010 02:08:21 +0000):	@joebrochin How is the family? Glad you have some time off
lele647 (Mon, 24 May 2010 02:09:23 +0000):	@scodal yes hunny i was ROTFLMAO, that was fantastic, i commented on FB!! How are you? Been chilly here was working on my tan
lele647 (Mon, 24 May 2010 02:13:05 +0000):	@TheRealLaine was chilly here and cloudy with a little rain perfect relaxing day
lele647 (Mon, 24 May 2010 02:13:22 +0000):	@sparkie5150 hey baby!! How are ya?
lele647 (Mon, 24 May 2010 02:13:40 +0000):	@aurapolisher How are you hunny!! love ya!!
lele647 (Mon, 24 May 2010 02:14:16 +0000):	@WatkinsLadybeth LOL I def have uber twitter for my phone
lele647 (Mon, 24 May 2010 02:16:31 +0000):	@hipcop LOl that is from the hideous rose bush, OL has about 20 buds now, it is a miracle!!
lele647 (Mon, 24 May 2010 02:18:45 +0000):	@aurapolisher my tweetdeck is fine today, LOL I am good, no sun this weekend really so lets start working on my tan tomorrow
lele647 (Mon, 24 May 2010 02:19:35 +0000):	@hipcop Oh I have so many , do you have a good idea what to do with them? i float them in a bowl
lele647 (Mon, 24 May 2010 02:26:49 +0000):	@joebrochin okay daring!! have a nice nap HUGS
lele647 (Mon, 24 May 2010 02:34:50 +0000):	RT @scodal: drinkin wine and killin time... In the pool (yea late night, its 82F still!) &gt; pulling up a chair!!
lele647 (Mon, 24 May 2010 02:35:51 +0000):	@hipcop i hac=ve to cut them they weigh the branches down!!
lele647 (Mon, 24 May 2010 02:36:00 +0000):	@hipcop sorry hunny have
lele647 (Mon, 24 May 2010 02:43:14 +0000):	@hipcop baby they bloom so fast those tree guys are lucky they did not kill it!!! LOL get a can of whoop ass!
lele647 (Mon, 24 May 2010 02:46:49 +0000):	@hipcop I lost 3/4 of the bush byst have 2 branches left
lele647 (Mon, 24 May 2010 02:46:58 +0000):	@hipcop sorry but
lele647 (Mon, 24 May 2010 02:50:36 +0000):	@SeanCAJ how are you sweetheart?
lele647 (Mon, 24 May 2010 02:52:42 +0000):	RT @Pianolady32: My Goth-ish Outfit http://twitpic.com/1qiyju &gt; I LOVE it!!
lele647 (Mon, 24 May 2010 02:57:06 +0000):	@hipcop i had a little cold and i gave it to him, compliments of the grocery store and everyone coughing, LOL
lele647 (Mon, 24 May 2010 02:57:42 +0000):	@Pianolady32 where did you go?
lele647 (Mon, 24 May 2010 02:59:00 +0000):	@hipcop LOL he will be fine, shaving now give him a minute, LOL
lele647 (Mon, 24 May 2010 03:00:05 +0000):	@Pianolady32 LOL yes the outfit, I loved it!!
lele647 (Mon, 24 May 2010 03:00:24 +0000):	@Pianolady32 years always get mixed up!!
lele647 (Mon, 24 May 2010 03:02:00 +0000):	@hipcop loL HE DOES, I TOLD HIM I WAS GOING TO BLOG AND HE TURED THE CHANNEL, YOU REDY? AMC NOW
lele647 (Mon, 24 May 2010 03:02:20 +0000):	@hipcop LOL sorry about the caps
lele647 (Mon, 24 May 2010 03:02:57 +0000):	@hipcop LOl he is watching breaking bad, his av show
lele647 (Mon, 24 May 2010 03:03:55 +0000):	@hipcop nLMAO he browsing and has landed on the office!!
lele647 (Mon, 24 May 2010 03:05:19 +0000):	@hipcop he loves it, and i think its pretty good, LOL he changed back to breaking bad
lele647 (Mon, 24 May 2010 03:06:15 +0000):	@Pianolady32 LOL last week i got my days mixed up!!
lele647 (Mon, 24 May 2010 03:07:41 +0000):	@hipcop LOL my dog is in my lap!!!
lele647 (Mon, 24 May 2010 03:12:05 +0000):	@Pianolady32 i know!! Always the same toutine
lele647 (Mon, 24 May 2010 03:12:56 +0000):	@hipcop Maxie is a big pup, LOL but his personality is to die for, such a loving dog
lele647 (Mon, 24 May 2010 03:13:42 +0000):	@hipcop but spoiled very freaking spoiled, i used to let him tweet until he ripped a key off my laptop
lele647 (Mon, 24 May 2010 03:23:07 +0000):	Blue Bunny Banana Spilt ice cream
lele647 (Mon, 24 May 2010 04:45:08 +0000):	@hipcop thats cool, maxie is old now, he needs comfort, LOL
lele647 (Mon, 24 May 2010 04:52:03 +0000):	My dog loves atkins bars!! What a nice treat!
lele647 (Mon, 24 May 2010 11:30:30 +0000):	RT @joelosteenmin: Instead of telling God how big your problems are, tell your problem how BIG your God is... Miracles http://ow.ly/1Io6P
lele647 (Mon, 24 May 2010 11:30:54 +0000):	Hope everyone has a great morning!! HUGS
lele647 (Mon, 24 May 2010 11:32:31 +0000):	@M_Albee hi hunny!! I think I'm sick can I have cough syrup hugs?
lele647 (Mon, 24 May 2010 16:02:16 +0000):	@hipcop Not much I just got back from Kolhs. AHHHH How was your sunday?
lele647 (Mon, 24 May 2010 16:08:15 +0000):	RT @FijiCollin: RT @lele647: Blue Bunny Banana Spilt ice cream &lt;---WHAT?? n&gt; It was good!!
lele647 (Mon, 24 May 2010 16:08:44 +0000):	@Pianolady32 I cant wait to see your pics hunny, sorry they put me in TJ last night!
lele647 (Mon, 24 May 2010 16:10:02 +0000):	RT @libertyideals: Thanks for the RTs and discussion! @dentaldiva1 @lele647 @RedScareBot @aduignancabrera @cicecandy @leahita &gt; HUGS
lele647 (Mon, 24 May 2010 16:11:17 +0000):	#MONDAY SWEETS @sparkie5150 @hipcop @FijiCollin @Pianolady32 @Alicia_Cop @WatkinsLadybeth @joeygiggles @CarlosOwns @windowsot @dentaldiva1
lele647 (Mon, 24 May 2010 16:12:07 +0000):	#MONDAY SWEETS @ganjaboy74 @syphil @EminemsRealWife @DamienCripps @libertyideals @booksilove @alexism1964 @ktoxxx @Battle_Of_Mars
lele647 (Mon, 24 May 2010 16:12:46 +0000):	HUGS Beautiful!!RT @Care2JoinMe: ♥ ♥ ♥ @ntombenhle @jennieMACAULAY @edo_au @CwbyWsdm @libertyideals @SAOMarketing @lele647
lele647 (Mon, 24 May 2010 16:14:02 +0000):	@MarchiP Hi Beautiful!! ow are you doing? I hope you had a nice weekend!
lele647 (Mon, 24 May 2010 16:15:15 +0000):	RT @M_Albee: @lele647 Monday. Sharing hugs and prayers with all my friends, pass it on. http://twitgoo.com/x3j3o &gt; HUGS HUNNY
lele647 (Mon, 24 May 2010 16:20:23 +0000):	#MONDAY SWEETS @selamo @Care2JoinMe @ShaChuleta @MarchiP @M_Albee @dawnlambros @MrsHazeleyes @Kristen_Howe @CBJDLA @Martien2012
lele647 (Mon, 24 May 2010 16:23:03 +0000):	MONDAY SWEETS @foodcreate @hipcop @ActorAshley @cupcakes5 @joeygiggles @joycecherrier @windowsot @JHNabors @JBCP @BigBlendMag
lele647 (Mon, 24 May 2010 16:23:29 +0000):	@joeygiggles @hipcop Thanks guys, whats up #jgf
lele647 (Mon, 24 May 2010 16:24:39 +0000):	@hipcop I think by thursday I might go to the doctor. AHHHHH
lele647 (Mon, 24 May 2010 16:25:29 +0000):	@joeygiggles waiting for my soap #jgf
lele647 (Mon, 24 May 2010 16:26:06 +0000):	@Kristen_Howe your welcome!!
lele647 (Mon, 24 May 2010 16:26:59 +0000):	@hipcop Thanks beautiful!!!
lele647 (Mon, 24 May 2010 16:27:17 +0000):	@aurapolisher Hey, I was thinking about you this morning!!!
lele647 (Mon, 24 May 2010 16:28:34 +0000):	@joeygiggles just staying in bed today #jgf
lele647 (Mon, 24 May 2010 16:29:32 +0000):	@cupcakes5 how are ya hunny? Did you have a good weekend?
lele647 (Mon, 24 May 2010 16:32:31 +0000):	RT @Pianolady32: @NickDevious @realjrkd @lele647 Thanks and you're welcome for mentions and rt's. :) HUGS darling!! How R U?
lele647 (Mon, 24 May 2010 16:32:52 +0000):	@RoyaltyBuff I sure missed you too!! How have you been?
lele647 (Mon, 24 May 2010 16:35:23 +0000):	@NickDevious Hey Nick, LOL missed ya this weekend, How was it? We didnt do anything cool and nasty here
lele647 (Mon, 24 May 2010 16:35:56 +0000):	@ActorAshley HUGS sweetness!!! How was your weekend?
lele647 (Mon, 24 May 2010 16:36:57 +0000):	@Pianolady32 thats awesome hunny!! Do you make a lot of jewelry?
lele647 (Mon, 24 May 2010 16:37:18 +0000):	RT @txconsrv09: MagnificoMon MyFaves!! @STXherry @VoteLIBSout @wishuwere1 @FlyingPatriot @suziplasse @ocean_o_curls @DeborahStewart
lele647 (Mon, 24 May 2010 16:37:45 +0000):	@txconsrv09 Hi sweetheart! How are ya?
lele647 (Mon, 24 May 2010 16:42:27 +0000):	@Pianolady32 I am sooo not crafty! At all. I used to always try new things, but I am good at framing, LOL
lele647 (Mon, 24 May 2010 16:43:36 +0000):	Oh Phyllis just pulled it together!!! #YR
lele647 (Mon, 24 May 2010 16:46:12 +0000):	@Pianolady32 That sounds like something I would be good at!! That is a great idea, I want to put atzec tiles on my wall
lele647 (Mon, 24 May 2010 16:47:59 +0000):	@NickDevious Dare I ask how old you are? LOL I turn 40 this year, LOL I want to go to Vegas!
lele647 (Mon, 24 May 2010 16:49:14 +0000):	@PageoLoveChild LOL how are you sweetie? I am going to beat kevin if he forgives ryder! #YR
lele647 (Mon, 24 May 2010 16:51:50 +0000):	@hoppets i know finally. How much longer is your movie?
lele647 (Mon, 24 May 2010 16:52:44 +0000):	@ActorAshley LOL we had no wind but rain and 70s temp!! I cant complain though, nice to have a lazy weekend!
